Probeset	ART_0dpi_1	ART_0dpi_2	ART_0dpi_3
Mtr.10093.1.S1_at	6.33099	5.97655	6.48722
Mtr.10093.1.S1_x_at	6.74938	6.54598	8.53939
Mtr.10094.1.S1_at	10.3013	8.9837	10.5953
Mtr.10095.1.S1_at	6.92938	6.86916	6.38746
Mtr.10096.1.S1_at	7.61703	7.80007	7.96008
Mtr.10097.1.S1_at	20.4847	18.6369	14.4944
Mtr.10098.1.S1_at	10.4298	9.98524	8.80532
Mtr.10099.1.S1_s_at	13.6594	36.3678	31.3633
Mtr.101.1.S1_at	5.60892	5.66042	5.43876
Mtr.1010.1.S1_at	119.056	59.4194	76.0739
Mtr.10100.1.S1_at	10.6852	12.4637	11.6802
Mtr.10101.1.S1_at	27.2462	41.4199	35.8974
Mtr.10102.1.S1_at	592.513	543.284	489.962
Mtr.10103.1.S1_at	8.03511	7.75878	8.02514
Mtr.10104.1.S1_at	219.675	293.377	256.736
Mtr.10105.1.S1_at	6.69903	8.28511	6.32245
Mtr.10105.1.S1_s_at	34.7452	174.369	157.226
Mtr.10106.1.S1_at	13.9579	19.3961	22.4925
Mtr.10107.1.S1_at	13.9958	42.5676	35.1869
Mtr.10107.1.S1_s_at	43.5063	68.5255	93.5925
Mtr.10108.1.S1_at	6.71128	7.71857	9.26373
Mtr.10109.1.S1_s_at	15.3497	50.9245	28.0207
Mtr.1011.1.S1_at	16.0304	15.3674	16.114
Mtr.10110.1.S1_at	933.926	1010.07	1064.98
Mtr.10111.1.S1_at	8.14168	12.5778	9.62668
Mtr.10112.1.S1_at	14.1092	12.8357	12.864
Mtr.10113.1.S1_at	15.3337	16.4198	18.4915
Mtr.10114.1.S1_at	13.6838	24.7189	22.0612
Mtr.10115.1.S1_at	44.597	78.6121	84.4541
Mtr.10116.1.S1_at	255.934	532.789	555.482
Mtr.10116.1.S1_s_at	96.7444	179.389	136.931
Mtr.10117.1.S1_at	13.2222	13.0123	11.506
Mtr.10118.1.S1_at	17.247	35.2811	25.9809
Mtr.10119.1.S1_at	39.4006	60.533	48.5568
Mtr.1012.1.S1_at	12.3712	12.0242	9.48161
Mtr.10120.1.S1_at	416.309	371.66	383.997
Mtr.10121.1.S1_at	81.6962	117.288	156.704
Mtr.10122.1.S1_at	7.15564	7.09515	7.7791
Mtr.10123.1.S1_at	223.074	192.513	158.931
Mtr.10124.1.S1_at	8.78302	7.175	8.06346
Mtr.10125.1.S1_at	6.43486	7.48099	6.42604
Mtr.10126.1.S1_at	15.7676	14.1957	14.2315
Mtr.10127.1.S1_at	9.29713	9.73336	13.4658
