Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.10093.1.S1_at	8.48323	8.37561	8.57944
Mtr.10093.1.S1_x_at	8.45722	8.26994	7.67032
Mtr.10094.1.S1_at	10.2463	10.8378	9.55873
Mtr.10095.1.S1_at	6.78829	6.24996	6.45858
Mtr.10096.1.S1_at	6.18133	5.90559	6.95518
Mtr.10097.1.S1_at	51.1921	53.705	34.5038
Mtr.10098.1.S1_at	12.7295	15.6822	11.9823
Mtr.10099.1.S1_s_at	73.8788	56.0123	61.6367
Mtr.101.1.S1_at	5.89144	5.22745	5.56036
Mtr.1010.1.S1_at	39.3173	50.8525	59.6165
Mtr.10100.1.S1_at	23.1101	21.9982	25.3586
Mtr.10101.1.S1_at	177.17	151.939	142.207
Mtr.10102.1.S1_at	463.995	572.382	469.663
Mtr.10103.1.S1_at	8.7752	7.52724	7.54353
Mtr.10104.1.S1_at	62.9351	50.614	42.8107
Mtr.10105.1.S1_at	6.46798	8.07631	6.03974
Mtr.10105.1.S1_s_at	131.682	105.818	82.101
Mtr.10106.1.S1_at	38.7239	30.8198	47.3166
Mtr.10107.1.S1_at	105.73	93.0555	114.419
Mtr.10107.1.S1_s_at	187.344	157.719	165.406
Mtr.10108.1.S1_at	8.2456	6.75574	8.06726
Mtr.10109.1.S1_s_at	62.8145	48.0405	55.6485
Mtr.1011.1.S1_at	19.8744	11.0463	14.419
Mtr.10110.1.S1_at	776.535	847.953	906.78
Mtr.10111.1.S1_at	16.4812	16.9127	8.1546
Mtr.10112.1.S1_at	12.5364	13.0434	14.45
Mtr.10113.1.S1_at	28.9185	15.1027	17.6985
Mtr.10114.1.S1_at	7.87929	7.69241	6.89411
Mtr.10115.1.S1_at	104.101	69.9734	79.7372
Mtr.10116.1.S1_at	482.831	447.42	460.899
Mtr.10116.1.S1_s_at	148.434	134.03	155.842
Mtr.10117.1.S1_at	22.6362	29.4472	21.6133
Mtr.10118.1.S1_at	22.9441	33.0216	34.3812
Mtr.10119.1.S1_at	73.1983	101.124	74.5249
Mtr.1012.1.S1_at	16.0781	16.8047	10.7243
Mtr.10120.1.S1_at	529.848	439.917	449.811
Mtr.10121.1.S1_at	79.0082	93.1115	101.567
Mtr.10122.1.S1_at	7.55537	8.28526	6.79407
Mtr.10123.1.S1_at	321.126	274.626	310.924
Mtr.10124.1.S1_at	9.55297	7.96132	7.78866
Mtr.10125.1.S1_at	6.67394	7.13329	6.97262
Mtr.10126.1.S1_at	2044.54	1750.94	1663.66
Mtr.10127.1.S1_at	12.7269	9.77627	12.8349
Mtr.10127.1.S1_s_at	43.6833	34.6478	61.4472
Mtr.10128.1.S1_at	108.654	92.5674	85.5336
Mtr.10129.1.S1_at	316.396	322.187	274.776
Mtr.1013.1.S1_at	7.54163	8.07998	7.64566
Mtr.10130.1.S1_at	270.327	252.354	225.212
Mtr.10131.1.S1_at	20.3398	26.7002	30.7379
Mtr.10132.1.S1_at	226.24	205.915	147.58
Mtr.10133.1.S1_at	556.672	529.101	545.425
Mtr.10134.1.S1_at	17.918	11.7436	11.0908
