Probeset	Nod_14dpi_1	Nod_14dpi_2	Nod_14dpi_3
Mtr.1.1.S1_at	93.3873	184.429	116.885
Mtr.1.1.S1_s_at	676.531	731.288	694.07
Mtr.10.1.S1_at	7.72012	12.9749	8.60534
Mtr.100.1.S1_at	8.61678	10.2174	8.09665
Mtr.1000.1.S1_at	14.7214	17.1534	18.5561
Mtr.10000.1.S1_at	348.205	495.605	443.052
Mtr.10001.1.S1_at	110.951	42.7332	49.4016
Mtr.10001.1.S1_s_at	428.258	243.42	285.751
Mtr.10002.1.S1_at	18.9296	19.0678	20.3465
Mtr.10003.1.S1_at	2564.4	2611.35	1515.35
Mtr.10004.1.S1_at	9.06156	9.41669	9.78721
Mtr.10005.1.S1_at	216.977	125.364	133.127
Mtr.10006.1.S1_at	49.4412	20.9122	46.3769
Mtr.10007.1.S1_at	71.7339	79.3425	96.4326
Mtr.10008.1.S1_at	27.3009	27.1101	38.6052
Mtr.10009.1.S1_at	265.662	321.956	376.373
Mtr.1001.1.S1_at	5.57531	7.38202	6.36506
Mtr.10010.1.S1_at	250.849	188.734	216.482
Mtr.10011.1.S1_at	6.38476	6.88688	7.72746
Mtr.10012.1.S1_at	6.31172	6.03686	6.33821
Mtr.10013.1.S1_at	2028.18	2006.77	1191.18
Mtr.10014.1.S1_at	8.13458	7.04096	7.21656
Mtr.10015.1.S1_at	40.0205	38.0805	44.5337
Mtr.10016.1.S1_at	210.772	306.628	268.949
Mtr.10017.1.S1_at	24.0428	22.2024	20.3839
Mtr.10018.1.S1_at	280.267	238.761	225.272
Mtr.10019.1.S1_at	67.2852	113.358	107.002
Mtr.1002.1.S1_at	9.6263	8.79196	11.5147
Mtr.10020.1.S1_at	27.257	28.08	37.9311
Mtr.10021.1.S1_at	7.73359	9.10101	11.0432
Mtr.10022.1.S1_at	238.314	135.009	162.801
Mtr.10023.1.S1_at	137.419	189.876	153.386
Mtr.10024.1.S1_at	7.7603	6.32739	8.11515
Mtr.10025.1.S1_at	17.5186	10.5456	17.3791
Mtr.10026.1.S1_at	61.0811	55.5475	71.8216
Mtr.10026.1.S1_s_at	220.236	207.247	302.33
Mtr.10027.1.S1_at	10.6956	13.5145	10.8668
Mtr.10028.1.S1_at	138.99	117.448	143.688
Mtr.10029.1.S1_at	24.2119	7.03948	8.16421
Mtr.10029.1.S1_s_at	128.83	81.698	102.807
Mtr.10030.1.S1_at	368.8	1357.15	462.121
Mtr.10031.1.S1_at	339.528	191.668	178.264
Mtr.10032.1.S1_at	6.64619	8.68961	6.20893
Mtr.10034.1.S1_at	57.5191	31.5532	42.401
Mtr.10035.1.S1_at	29.112	30.2934	24.4062
Mtr.10036.1.S1_at	76.525	33.989	45.9326
Mtr.10037.1.S1_at	120.408	419.31	189.311
Mtr.10039.1.S1_at	39.4785	64.5912	33.1606
Mtr.1004.1.S1_at	6.90132	8.94289	6.76963
Mtr.10040.1.S1_at	14.751	15.5877	12.335
Mtr.10041.1.S1_at	452.005	373.091	383.483
Mtr.10042.1.S1_at	441.055	366.821	471.129
Mtr.10043.1.S1_at	32.8072	30.9405	36.8785
Mtr.10044.1.S1_at	1072.73	1552.49	1520.21
Mtr.10045.1.S1_at	1002.02	626.909	689.896
Mtr.10046.1.S1_at	147.309	78.6319	76.0508
Mtr.10047.1.S1_at	12.3748	12.243	12.2558
Mtr.10048.1.S1_at	244.138	230.708	229.252
Mtr.10049.1.S1_at	75.5686	59.961	41.3945
Mtr.1005.1.S1_at	5.926	7.01717	6.07924
Mtr.10050.1.S1_at	7.15534	6.62181	5.30216
Mtr.10051.1.S1_at	333.228	333.339	298.971
Mtr.10052.1.S1_at	11.1008	13.4773	10.3949
Mtr.10053.1.S1_at	2193.75	1659.76	1651.21
Mtr.10054.1.S1_at	111.47	77.4103	100.356
Mtr.10055.1.S1_at	988.079	671.047	975.511
Mtr.10056.1.S1_at	25.6217	13.5499	19.0155
Mtr.10057.1.S1_at	25.3714	27.4635	26.7081
Mtr.10058.1.S1_at	10.4142	8.80603	10.4373
Mtr.10059.1.S1_at	525.292	456.279	507.277
Mtr.1006.1.S1_at	5.18506	5.50348	5.0507
Mtr.10061.1.S1_at	87.2516	39.0899	45.7757
Mtr.10062.1.S1_at	201.757	158.125	164.8
