Probeset	Nod_04dpi_1	Nod_04dpi_2	Nod_04dpi_3
Mtr.1.1.S1_at	68.3478	115.202	82.9231
Mtr.1.1.S1_s_at	642.9	580.543	628.336
Mtr.10.1.S1_at	8.38032	8.82753	8.80935
Mtr.100.1.S1_at	11.4746	9.91527	11.0759
Mtr.1000.1.S1_at	14.941	13.9457	14.778
Mtr.10000.1.S1_at	340.101	427.898	424.77
Mtr.10001.1.S1_at	123.548	91.6902	85.4837
Mtr.10001.1.S1_s_at	512.961	351.016	353.142
Mtr.10002.1.S1_at	21.5593	15.1126	19.0911
Mtr.10003.1.S1_at	6.39594	11.8189	6.51821
Mtr.10004.1.S1_at	7.50332	8.82753	8.70638
Mtr.10005.1.S1_at	295.984	269.089	324.835
Mtr.10006.1.S1_at	46.2125	37.7905	41.9576
Mtr.10007.1.S1_at	102.721	133.875	154.803
Mtr.10008.1.S1_at	27.8387	31.3341	29.8835
Mtr.10009.1.S1_at	747.659	979.625	884.244
Mtr.1001.1.S1_at	6.1934	6.12704	7.14009
Mtr.10010.1.S1_at	302.382	194.503	241.646
Mtr.10011.1.S1_at	5.86622	6.2276	7.78635
Mtr.10012.1.S1_at	6.45964	6.91952	7.44264
Mtr.10013.1.S1_at	2443.99	2715.66	2494.52
Mtr.10014.1.S1_at	9.50989	8.58095	8.06812
Mtr.10015.1.S1_at	43.1602	38.0701	43.3294
Mtr.10016.1.S1_at	309.857	355.923	332.427
Mtr.10017.1.S1_at	22.1525	17.6694	20.2507
Mtr.10018.1.S1_at	133.723	155.868	187.635
Mtr.10019.1.S1_at	200.902	164.778	232.835
Mtr.1002.1.S1_at	7.7794	7.62903	7.73854
Mtr.10020.1.S1_at	32.3485	27.9934	42.9409
Mtr.10021.1.S1_at	10.1957	9.12051	9.06837
Mtr.10022.1.S1_at	234.695	174.538	184.849
Mtr.10023.1.S1_at	594.774	647.576	662.704
Mtr.10024.1.S1_at	7.39867	7.9776	7.01271
Mtr.10025.1.S1_at	34.9823	28.4268	32.0655
Mtr.10026.1.S1_at	35.7535	44.749	38.5997
Mtr.10026.1.S1_s_at	159	163.399	182.869
Mtr.10027.1.S1_at	10.0231	11.5824	10.2655
Mtr.10028.1.S1_at	126.297	144.456	150.36
Mtr.10029.1.S1_at	14.5092	15.2239	9.54117
Mtr.10029.1.S1_s_at	83.8662	64.5721	68.0116
Mtr.10030.1.S1_at	323.304	439.489	488.917
Mtr.10031.1.S1_at	334.412	250.817	245.431
Mtr.10032.1.S1_at	6.83948	7.51521	7.4227
Mtr.10034.1.S1_at	75.5745	56.3188	69.1622
