Probeset	ART_00meristem_1	ART_00meristem_2	ART_00meristem_3
Mtr.10093.1.S1_at	8.3824	9.48617	7.84933
Mtr.10093.1.S1_x_at	9.73065	7.80289	8.6638
Mtr.10094.1.S1_at	12.7993	11.3137	9.51302
Mtr.10095.1.S1_at	7.21182	5.38375	6.28967
Mtr.10096.1.S1_at	11.9724	16.9557	26.6216
Mtr.10097.1.S1_at	39.6881	41.5847	33.546
Mtr.10098.1.S1_at	7.91944	6.99332	10.2784
Mtr.10099.1.S1_s_at	22.8665	25.5352	25.111
Mtr.101.1.S1_at	5.99512	5.63598	6.00914
Mtr.1010.1.S1_at	70.546	64.4159	51.6708
Mtr.10100.1.S1_at	9.62069	10.7889	11.1051
Mtr.10101.1.S1_at	104.056	117.533	99.6217
Mtr.10102.1.S1_at	648.776	561.351	516.018
Mtr.10103.1.S1_at	6.66555	7.62547	6.72116
Mtr.10104.1.S1_at	18.3509	18.7312	17.0548
Mtr.10105.1.S1_at	5.93442	6.49886	6.05156
Mtr.10105.1.S1_s_at	24.3643	33.9998	32.1823
Mtr.10106.1.S1_at	66.1354	53.6548	42.4505
Mtr.10107.1.S1_at	88.3239	73.1459	60.5055
Mtr.10107.1.S1_s_at	144.982	136.606	128.558
Mtr.10108.1.S1_at	7.89375	7.7231	6.40504
Mtr.10109.1.S1_s_at	58.2452	63.8819	64.5264
Mtr.1011.1.S1_at	23.1864	16.5764	15.1206
Mtr.10110.1.S1_at	1432.66	1334.95	1176.34
Mtr.10111.1.S1_at	16.1366	19.649	16.6178
Mtr.10112.1.S1_at	9.36419	12.0703	14.4177
Mtr.10113.1.S1_at	13.8747	14.1003	14.5569
Mtr.10114.1.S1_at	7.17689	7.38741	11.2994
Mtr.10115.1.S1_at	71.7978	79.6277	85.9713
Mtr.10116.1.S1_at	232.142	251.861	261.483
Mtr.10116.1.S1_s_at	98.1666	110.528	123.892
Mtr.10117.1.S1_at	51.8288	71.1101	62.4595
Mtr.10118.1.S1_at	31.1618	23.589	24.5125
Mtr.10119.1.S1_at	86.8131	59.9331	57.3815
Mtr.1012.1.S1_at	11.4188	11.7355	8.72165
Mtr.10120.1.S1_at	329.179	315.648	292.5
Mtr.10121.1.S1_at	182.77	235.23	187.231
Mtr.10122.1.S1_at	8.65198	8.66981	8.20116
Mtr.10123.1.S1_at	154.569	158.341	185.36
Mtr.10124.1.S1_at	8.69727	7.19406	7.54622
Mtr.10125.1.S1_at	8.38823	9.44007	8.01329
Mtr.10126.1.S1_at	14.8709	16.9557	14.3392
Mtr.10127.1.S1_at	117.286	151.747	127.868
Mtr.10127.1.S1_s_at	408.121	417.757	601.947
Mtr.10128.1.S1_at	42.224	31.9133	40.8937
Mtr.10129.1.S1_at	342.35	318.941	265.703
Mtr.1013.1.S1_at	8.30578	8.3342	8.36316
Mtr.10130.1.S1_at	168.326	156.197	165.02
Mtr.10131.1.S1_at	141.016	121.149	108.079
Mtr.10132.1.S1_at	286.67	291.634	258.8
Mtr.10133.1.S1_at	575.589	588.402	565.419
Mtr.10134.1.S1_at	24.2805	20.9078	14.675
Mtr.10135.1.S1_at	21.8721	23.1286	27.0117
Mtr.10136.1.S1_at	414.082	452.16	446.425
Mtr.10137.1.S1_at	68.3938	48.6041	45.2495
Mtr.10138.1.S1_at	557.965	468.455	460.336
Mtr.10139.1.S1_at	74.6153	80.9642	76.2477
Mtr.1014.1.S1_at	120.465	135.731	120.238
Mtr.10140.1.S1_at	13.0789	17.9289	16.3151
Mtr.10141.1.S1_at	15.9706	14.4261	17.4673
Mtr.10142.1.S1_at	60.6686	32.993	37.3025
Mtr.10143.1.S1_at	6.40202	6.47658	7.76778
Mtr.10144.1.S1_at	153.171	156.797	181.108
Mtr.10145.1.S1_at	14.5088	15.8915	17.4091
Mtr.10146.1.S1_at	8.33542	9.5479	11.872
Mtr.10146.1.S1_s_at	12.3436	11.3681	7.41114
Mtr.10147.1.S1_at	20.6211	13.9052	21.9172
Mtr.10148.1.S1_at	246.999	256.954	252.73
Mtr.10149.1.S1_at	7.39427	9.45325	7.92857
Mtr.1015.1.S1_at	51.9095	44.9486	38.9356
Mtr.10150.1.S1_at	12.5244	12.3041	9.01208
Mtr.10151.1.S1_s_at	66.8174	67.4684	63.5865
Mtr.10152.1.S1_at	446.942	393.65	344.862
Mtr.10153.1.S1_at	11.5453	10.2322	10.4897
Mtr.10153.1.S1_s_at	43.9294	34.182	26.7948
Mtr.10154.1.S1_at	7.71568	10.5016	10.6879
Mtr.10155.1.S1_at	88.0252	88.5811	100.574
Mtr.10156.1.S1_at	30.4304	31.7118	30.8963
Mtr.10157.1.S1_at	146.512	126.477	143.818
Mtr.10158.1.S1_at	548.804	589.436	538.692
Mtr.10159.1.S1_at	12.0718	13.4842	18.8747
Mtr.1016.1.S1_at	78.6876	80.5485	89.6286
Mtr.10160.1.S1_at	6.94275	7.09773	7.54469
Mtr.10160.1.S1_x_at	7.19045	7.26165	7.28408
Mtr.10161.1.S1_at	165.208	185.666	212.526
Mtr.10162.1.S1_at	38.8979	46.1975	38.8741
Mtr.10163.1.S1_at	59.0065	55.6808	55.0143
Mtr.10164.1.S1_at	268.287	245.152	203.407
Mtr.10165.1.S1_at	1292.12	1044.89	1348.79
Mtr.10166.1.S1_at	1052.87	1008.85	949.333
Mtr.10167.1.S1_at	34.3142	24.9602	31.6927
Mtr.10168.1.S1_at	316.989	237.663	296.778
Mtr.10169.1.S1_at	99.8662	111.375	98.6617
Mtr.1017.1.S1_at	6.04497	7.70104	7.38625
Mtr.10170.1.S1_at	35.1303	30.2634	37.415
Mtr.10171.1.S1_at	32.3354	48.5937	47.4088
Mtr.10172.1.S1_at	58.7875	70.9283	65.7952
Mtr.10173.1.S1_at	124.552	133.455	103.116
Mtr.10174.1.S1_at	6.6939	7.77989	6.23692
Mtr.10175.1.S1_at	638.091	1058.99	608.448
Mtr.10176.1.S1_at	507.203	414.359	363.306
Mtr.10177.1.S1_at	369.796	494.079	434.355
Mtr.10178.1.S1_at	641.345	636.257	632.711
Mtr.10179.1.S1_at	14.6689	24.3695	13.6457
Mtr.1018.1.S1_at	11.9975	9.67051	14.3392
Mtr.1018.1.S1_s_at	676.346	743.8	779.147
Mtr.10180.1.S1_at	25.7625	19.5492	18.4955
Mtr.10181.1.S1_at	53.3762	30.9784	30.4409
Mtr.10182.1.S1_at	20.3957	21.6682	14.3392
Mtr.10183.1.S1_s_at	83.5106	53.3787	53.2072
Mtr.10184.1.S1_at	17.0594	11.2146	16.4527
Mtr.10185.1.S1_at	72.329	37.9481	35.8825
Mtr.10186.1.S1_at	16.9613	17.497	11.0296
Mtr.10187.1.S1_at	1451.75	1255.82	1196.13
Mtr.10188.1.S1_at	30.3353	28.9501	26.8403
Mtr.10188.1.S1_x_at	32.4143	24.6537	26.6239
Mtr.10189.1.S1_at	1005.15	742.47	738.008
Mtr.1019.1.S1_at	8.11521	6.63844	7.79665
Mtr.10190.1.S1_at	21.1548	30.8405	15.1738
Mtr.10191.1.S1_at	10.1048	10.2077	10.7193
Mtr.10192.1.S1_at	21.6309	51.7727	46.5856
Mtr.10193.1.S1_at	285.278	265.895	256.294
Mtr.10194.1.S1_at	105.539	110.871	96.3376
Mtr.10195.1.S1_at	8.30578	11.6241	6.79136
Mtr.10196.1.S1_at	73.2952	62.5358	92.2571
Mtr.10197.1.S1_at	206.695	197.067	227.154
Mtr.10198.1.S1_at	12.9946	14.4316	12.5382
Mtr.10199.1.S1_at	465.76	447.594	490.652
Mtr.10199.1.S1_s_at	372.394	380.715	370.27
Mtr.102.1.S1_x_at	34.0667	44.808	50.7844
Mtr.1020.1.S1_at	84.1775	103.851	58.2741
Mtr.10200.1.S1_at	398.362	385.091	394.262
Mtr.10201.1.S1_at	45.3553	59.9356	50.1022
Mtr.10202.1.S1_at	29.1341	44.4745	18.7612
Mtr.10203.1.S1_at	685.952	708.449	718.54
Mtr.10203.1.S1_s_at	496.677	545.838	548.894
Mtr.10204.1.S1_at	394.471	363.594	347.421
Mtr.10205.1.S1_at	38.9107	44.0561	44.4431
Mtr.10206.1.S1_at	6.13192	7.3211	7.36588
Mtr.10207.1.S1_at	27.7903	26.7451	27.1884
Mtr.10208.1.S1_at	5.51394	6.68989	6.47024
Mtr.10209.1.S1_at	189.372	175.053	170.997
Mtr.1021.1.S1_at	14.4714	15.0995	17.4532
Mtr.10210.1.S1_at	7.4446	9.18161	7.87368
Mtr.10211.1.S1_at	639.803	688.866	620.64
