Probeset	Nod_03dpi_1	Nod_03dpi_2	Nod_03dpi_3
Mtr.1.1.S1_at	22.8823	19.0869	20.8926
Mtr.1.1.S1_s_at	523.711	509.527	519.504
Mtr.10.1.S1_at	9.97094	8.23984	10.9065
Mtr.100.1.S1_at	34.6824	29.5861	14.8818
Mtr.1000.1.S1_at	13.4224	11.4715	16.689
Mtr.10000.1.S1_at	313.993	294.648	310.267
Mtr.10001.1.S1_at	107.33	126.344	120.546
Mtr.10001.1.S1_s_at	539.176	545.399	525.21
Mtr.10002.1.S1_at	29.8259	29.5793	33.4949
Mtr.10003.1.S1_at	5.59845	6.59541	6.71035
Mtr.10004.1.S1_at	10.9456	12.1304	10.9441
Mtr.10005.1.S1_at	209.705	323.647	294.946
Mtr.10006.1.S1_at	17.0307	18.3558	20.0964
Mtr.10007.1.S1_at	287.44	274.441	267.468
Mtr.10008.1.S1_at	21.0066	19.681	22.1251
Mtr.10009.1.S1_at	2613.5	2908.66	3046.7
Mtr.1001.1.S1_at	5.62794	6.08688	6.32647
Mtr.10010.1.S1_at	160.441	136.432	149.104
Mtr.10011.1.S1_at	7.28571	6.99082	7.6807
Mtr.10012.1.S1_at	6.47592	5.89631	7.01
Mtr.10013.1.S1_at	4391.42	3654.22	4147.92
Mtr.10014.1.S1_at	9.18657	9.33046	9.25449
Mtr.10015.1.S1_at	33.6556	36.0961	37.4095
Mtr.10016.1.S1_at	457.228	449.103	450.75
Mtr.10017.1.S1_at	19.0133	18.1338	20.0805
Mtr.10018.1.S1_at	135.895	159.942	145.334
Mtr.10019.1.S1_at	231.057	196.915	204.388
Mtr.1002.1.S1_at	8.50824	7.17632	7.65246
Mtr.10020.1.S1_at	55.8243	80.8853	78.5997
Mtr.10021.1.S1_at	49.0707	55.2415	37.0732
Mtr.10022.1.S1_at	346.58	418.099	360.42
Mtr.10023.1.S1_at	306.061	255.241	349.411
Mtr.10024.1.S1_at	8.33538	7.55504	9.84594
Mtr.10025.1.S1_at	15.7905	19.078	13.3313
Mtr.10026.1.S1_at	50.1094	52.6306	51.0679
Mtr.10026.1.S1_s_at	207.567	210.91	231.73
Mtr.10027.1.S1_at	9.78854	12.0407	11.0533
Mtr.10028.1.S1_at	81.9402	74.4603	68.8701
Mtr.10029.1.S1_at	28.5179	36.6515	41.2177
Mtr.10029.1.S1_s_at	148.093	145.846	173.108
Mtr.10030.1.S1_at	483.788	451.884	454.619
Mtr.10031.1.S1_at	297.546	337.341	251.267
Mtr.10032.1.S1_at	6.20823	5.87655	5.86249
Mtr.10034.1.S1_at	64.592	80.1099	83.6996
Mtr.10035.1.S1_at	32.9979	36.0961	27.8691
Mtr.10036.1.S1_at	161.279	205.361	160.647
Mtr.10037.1.S1_at	307.779	335.513	326.989
Mtr.10039.1.S1_at	86.9681	75.2531	65.4367
Mtr.1004.1.S1_at	7.18843	6.40288	6.8709
Mtr.10040.1.S1_at	12.2277	11.9178	13.364
Mtr.10041.1.S1_at	301.911	298.819	295.767
Mtr.10042.1.S1_at	296.007	284.94	239.082
Mtr.10043.1.S1_at	279.306	270.529	266.388
Mtr.10044.1.S1_at	96.5983	116.953	102.155
Mtr.10045.1.S1_at	541.353	433.603	571.069
Mtr.10046.1.S1_at	148.112	179.981	177.233
Mtr.10047.1.S1_at	16.9557	18.7038	18.7359
Mtr.10048.1.S1_at	112.314	126.783	126.505
Mtr.10049.1.S1_at	71.6146	84.728	86.587
Mtr.1005.1.S1_at	8.50742	8.62163	7.87144
Mtr.10050.1.S1_at	7.22529	8.25679	6.54908
Mtr.10051.1.S1_at	253.385	257.464	231.34
Mtr.10052.1.S1_at	9.99778	10.0529	10.6526
Mtr.10053.1.S1_at	6.46679	6.53243	6.54903
Mtr.10054.1.S1_at	81.6181	67.1819	68.2797
Mtr.10055.1.S1_at	264.488	253.437	301.829
Mtr.10056.1.S1_at	6.40293	6.11496	6.36923
Mtr.10057.1.S1_at	20.5269	21.8462	20.7148
Mtr.10058.1.S1_at	28.0524	40.1249	41.2689
Mtr.10059.1.S1_at	558.378	548.132	567.502
Mtr.1006.1.S1_at	5.77828	5.73471	5.66691
Mtr.10061.1.S1_at	27.0687	25.2861	20.8217
Mtr.10062.1.S1_at	300.15	306.07	291.53
Mtr.10063.1.S1_at	25.2693	23.0249	20.1688
Mtr.10064.1.S1_at	140.134	123.756	150.073
Mtr.10065.1.S1_at	88.6885	98.1905	89.0209
Mtr.10066.1.S1_at	184.369	168.972	167.623
Mtr.10067.1.S1_at	11.5036	14.5548	13.2131
Mtr.10067.1.S1_s_at	326.1	320.292	339.75
Mtr.10068.1.S1_at	127.45	112.979	125.961
Mtr.10069.1.S1_at	18.2746	19.3391	16.6471
Mtr.1007.1.S1_at	10.7186	13.314	13.2242
Mtr.10070.1.S1_at	117.949	131.775	128.269
Mtr.10071.1.S1_at	111.941	68.637	141.871
Mtr.10071.1.S1_s_at	48.0694	33.7889	48.0497
Mtr.10072.1.S1_at	504.869	436.01	454.97
Mtr.10073.1.S1_at	18.3744	16.7473	14.3962
Mtr.10074.1.S1_at	6.11793	6.49477	6.22764
Mtr.10076.1.S1_at	8.48538	7.69545	8.05715
Mtr.10077.1.S1_at	665.706	698.954	660.016
Mtr.10078.1.S1_at	6.44641	6.31713	6.16484
Mtr.10079.1.S1_at	976.204	1041.25	1100.31
Mtr.1008.1.S1_at	6.77987	5.81764	6.68611
Mtr.10080.1.S1_at	6.25212	6.9757	6.04628
Mtr.10081.1.S1_at	12.2944	13.908	15.1633
Mtr.10081.1.S1_s_at	49.9352	58.9041	47.7492
Mtr.10082.1.S1_at	53.063	44.1299	44.5598
Mtr.10083.1.S1_at	11.3403	13.2329	12.75
Mtr.10084.1.S1_at	50.3246	44.5502	44.5559
Mtr.10085.1.S1_at	1517.08	1572.08	1509.79
