Probeset	Nod_20dpi_1	Nod_20dpi_2	Nod_20dpi_3
Mtr.1.1.S1_at	16.6691	27.9126	33.7093
Mtr.1.1.S1_s_at	761.824	738.239	759.612
Mtr.10.1.S1_at	8.54595	10.3437	11.8985
Mtr.100.1.S1_at	7.97135	7.85838	6.9347
Mtr.1000.1.S1_at	10.1991	12.4031	10.8339
Mtr.10000.1.S1_at	420.859	433.271	434.391
Mtr.10001.1.S1_at	88.8478	60.7539	78.2752
Mtr.10001.1.S1_s_at	320.611	297.646	299.908
Mtr.10002.1.S1_at	52.8516	42.638	42.4839
Mtr.10003.1.S1_at	4700.11	3410.12	4008.51
Mtr.10004.1.S1_at	8.28036	12.5448	10.6561
Mtr.10005.1.S1_at	132.383	128.906	124.386
Mtr.10006.1.S1_at	12.1326	16.7504	12.064
Mtr.10007.1.S1_at	101.733	106.295	82.6357
Mtr.10008.1.S1_at	50.0748	46.5984	40.9432
Mtr.10009.1.S1_at	135.682	148.017	113.123
Mtr.1001.1.S1_at	7.01972	8.0338	7.14595
Mtr.10010.1.S1_at	56.8061	60.8458	50.4647
Mtr.10011.1.S1_at	8.43387	6.8359	7.05451
Mtr.10012.1.S1_at	5.76703	5.70645	6.52809
Mtr.10013.1.S1_at	1930.09	2229.43	1919.14
Mtr.10014.1.S1_at	10.2348	7.26411	8.60129
Mtr.10015.1.S1_at	40.1747	37.2196	37.4313
Mtr.10016.1.S1_at	308.487	339.427	339.625
Mtr.10017.1.S1_at	20.1853	17.0247	21.7631
Mtr.10018.1.S1_at	251.471	276.201	303.731
Mtr.10019.1.S1_at	111.963	130.641	125.184
Mtr.1002.1.S1_at	9.61932	10.5574	11.6981
Mtr.10020.1.S1_at	25.1361	29.1329	16.6435
Mtr.10021.1.S1_at	8.7989	11.6082	10.5928
Mtr.10022.1.S1_at	295.457	221.14	240.608
Mtr.10023.1.S1_at	136.913	107.789	127.181
Mtr.10024.1.S1_at	6.38921	6.41327	7.96635
Mtr.10025.1.S1_at	11.7987	11.0678	12.5057
Mtr.10026.1.S1_at	91.7541	75.5567	81.9975
Mtr.10026.1.S1_s_at	473.018	466.171	456.397
Mtr.10027.1.S1_at	11.0099	10.7998	9.58519
Mtr.10028.1.S1_at	225.857	205.034	204.672
Mtr.10029.1.S1_at	47.7888	48.7674	35.8363
Mtr.10029.1.S1_s_at	233.121	236.511	204.626
Mtr.10030.1.S1_at	583.844	617.637	848.155
Mtr.10031.1.S1_at	287.992	308.239	285.097
Mtr.10032.1.S1_at	6.8218	6.70212	7.09486
Mtr.10034.1.S1_at	40.7476	43.5625	40.3178
Mtr.10035.1.S1_at	50.7359	52.1791	45.9839
Mtr.10036.1.S1_at	118.036	118.375	120.436
Mtr.10037.1.S1_at	125.763	105.819	197.066
Mtr.10039.1.S1_at	45.4225	38.4378	63.4415
Mtr.1004.1.S1_at	7.86432	7.36197	6.51717
Mtr.10040.1.S1_at	22.5628	29.1988	17.1246
Mtr.10041.1.S1_at	371.919	388.281	364.234
Mtr.10042.1.S1_at	368.691	402.588	323.131
Mtr.10043.1.S1_at	31.0691	39.2648	40.9269
Mtr.10044.1.S1_at	1244.7	1080.53	1214.73
Mtr.10045.1.S1_at	534.395	536.788	560.513
Mtr.10046.1.S1_at	74.2735	52.5531	54.6757
