Probeset	ART_20dpi_control_1	ART_20dpi_control_2	ART_20dpi_control_3
Mtr.1.1.S1_at	32.805	37.1419	36.0785
Mtr.1.1.S1_s_at	559.682	584.843	643.281
Mtr.10.1.S1_at	10.8974	12.2565	10.2915
Mtr.100.1.S1_at	11.4076	14.683	12.4891
Mtr.1000.1.S1_at	9.9268	13.9182	13.3712
Mtr.10000.1.S1_at	468.107	444.565	465.907
Mtr.10001.1.S1_at	81.6818	108.443	116.438
Mtr.10001.1.S1_s_at	348.198	425.402	395.507
Mtr.10002.1.S1_at	39.723	32.0933	41.5619
Mtr.10003.1.S1_at	8.19632	6.18189	6.14544
Mtr.10004.1.S1_at	10.348	12.9639	12.3575
Mtr.10005.1.S1_at	195.998	438.76	255.195
Mtr.10006.1.S1_at	14.3304	9.6553	13.4037
Mtr.10007.1.S1_at	261.421	212.53	246.063
Mtr.10008.1.S1_at	29.4452	25.1154	30.563
Mtr.10009.1.S1_at	2595.23	2077.33	2170.81
Mtr.1001.1.S1_at	6.39217	6.56097	7.00304
Mtr.10010.1.S1_at	101.527	122.324	85.5227
Mtr.10011.1.S1_at	8.47946	7.66795	6.93527
Mtr.10012.1.S1_at	5.97367	6.30275	6.45448
Mtr.10013.1.S1_at	1895.37	1346.1	1595.84
Mtr.10014.1.S1_at	8.44222	9.19641	10.9129
Mtr.10015.1.S1_at	29.1074	36.7252	44.9284
Mtr.10016.1.S1_at	564.663	550.821	594.264
Mtr.10017.1.S1_at	23.2214	20.362	21.5566
Mtr.10018.1.S1_at	273.584	286.483	253.816
Mtr.10019.1.S1_at	196.301	157.851	194.999
Mtr.1002.1.S1_at	12.2663	8.59352	9.34949
Mtr.10020.1.S1_at	91.436	136.564	126.604
Mtr.10021.1.S1_at	17.4406	21.2479	14.9385
Mtr.10022.1.S1_at	241.628	308.566	252.388
Mtr.10023.1.S1_at	251.96	216.038	233.462
Mtr.10024.1.S1_at	9.00338	8.11147	8.91306
Mtr.10025.1.S1_at	12.6603	10.6204	13.5515
Mtr.10026.1.S1_at	50.0278	51.0484	50.0692
Mtr.10026.1.S1_s_at	205.315	180.338	212.067
Mtr.10027.1.S1_at	12.9617	12.0418	9.08148
Mtr.10028.1.S1_at	173.845	150.464	155.998
Mtr.10029.1.S1_at	7.59827	22.5564	14.713
Mtr.10029.1.S1_s_at	60.4764	98.5769	75.6884
Mtr.10030.1.S1_at	782.964	868.304	827.575
Mtr.10031.1.S1_at	212.346	191.615	212.644
Mtr.10032.1.S1_at	8.01969	7.33777	7.52217
Mtr.10034.1.S1_at	31.06	38.5354	29.9525
Mtr.10035.1.S1_at	59.2019	28.8505	34.7887
Mtr.10036.1.S1_at	26.1118	50.7491	33.0661
Mtr.10037.1.S1_at	990.631	922.501	929.628
Mtr.10039.1.S1_at	118.623	68.7046	89.8666
Mtr.1004.1.S1_at	7.65041	7.69955	7.40919
Mtr.10040.1.S1_at	12.5193	19.0849	14.5505
Mtr.10041.1.S1_at	324.13	301.287	327.486
Mtr.10042.1.S1_at	338.475	242.474	267.055
Mtr.10043.1.S1_at	176.133	207.964	178.806
Mtr.10044.1.S1_at	184.563	160.003	170.531
Mtr.10045.1.S1_at	217.662	271.074	241.214
Mtr.10046.1.S1_at	74.7833	70.2856	80.9352
Mtr.10047.1.S1_at	17.0796	18.7427	22.5981
Mtr.10048.1.S1_at	131.354	144.396	131.985
Mtr.10049.1.S1_at	79.2212	95.4691	72.12
Mtr.1005.1.S1_at	8.38572	7.47925	8.0981
Mtr.10050.1.S1_at	6.83709	6.23172	7.48732
Mtr.10051.1.S1_at	330.331	242.069	278.592
Mtr.10052.1.S1_at	9.77505	9.89271	10.9129
Mtr.10053.1.S1_at	7.50112	6.8959	6.40639
Mtr.10054.1.S1_at	87.4639	85.0472	92.0431
Mtr.10055.1.S1_at	184.4	251.721	204.566
Mtr.10056.1.S1_at	6.30068	6.54373	5.94271
Mtr.10057.1.S1_at	17.1303	24.5282	19.2347
Mtr.10058.1.S1_at	69.1765	29.9446	47.6242
