Probeset	ART_06dpi_control_1	ART_06dpi_control_2	ART_06dpi_control_3
Mtr.10062.1.S1_at	268.41	306.461	323.653
Mtr.10063.1.S1_at	13.3529	12.4599	11.9368
Mtr.10064.1.S1_at	148.437	149.345	120.695
Mtr.10065.1.S1_at	62.1684	64.6295	56.7843
Mtr.10066.1.S1_at	255.876	288.081	258.464
Mtr.10067.1.S1_at	8.28791	11.9857	12.8667
Mtr.10067.1.S1_s_at	218.285	276.794	269.19
Mtr.10068.1.S1_at	211.409	185.929	193.126
Mtr.10069.1.S1_at	20.4755	21.7587	15.6041
Mtr.1007.1.S1_at	12.291	15.9653	11.3642
Mtr.10070.1.S1_at	146.201	144.321	148.65
Mtr.10071.1.S1_at	95.9327	109.146	100.841
Mtr.10071.1.S1_s_at	28.5125	32.1535	31.6662
Mtr.10072.1.S1_at	605.074	654.593	542.535
Mtr.10073.1.S1_at	14.0493	13.4887	12.4563
Mtr.10074.1.S1_at	6.49231	6.69957	5.94608
Mtr.10076.1.S1_at	10.3967	12.2271	9.15733
Mtr.10077.1.S1_at	488.952	504.222	527.166
Mtr.10078.1.S1_at	7.75265	7.28187	6.70634
Mtr.10079.1.S1_at	866.698	850.705	845.926
Mtr.1008.1.S1_at	8.78676	7.33337	6.66469
Mtr.10080.1.S1_at	6.02243	6.38859	5.41551
Mtr.10081.1.S1_at	16.242	14.6268	17.1815
Mtr.10081.1.S1_s_at	50.9417	35.4481	46.687
Mtr.10082.1.S1_at	44.2903	49.2091	51.9497
Mtr.10083.1.S1_at	9.12127	13.0084	11.8664
Mtr.10084.1.S1_at	25.7826	35.9562	29.4891
Mtr.10085.1.S1_at	1681.98	1505.72	1567.15
Mtr.10086.1.S1_at	215.982	206.767	232.445
Mtr.10086.1.S1_s_at	292.2	293.953	282.992
Mtr.10087.1.S1_at	10.7266	7.42186	8.1488
Mtr.10088.1.S1_at	551.172	552.762	594.48
Mtr.10089.1.S1_at	8.44751	9.79143	5.91856
Mtr.1009.1.S1_at	5.55709	8.00837	5.41386
Mtr.10090.1.S1_at	82.9483	81.7532	75.9119
Mtr.10091.1.S1_at	11.0473	10.8148	11.3642
Mtr.10092.1.S1_at	1070.54	1053.14	997.258
Mtr.10093.1.S1_at	10.3731	9.8167	9.84921
Mtr.10093.1.S1_x_at	8.32762	10.1571	8.8324
Mtr.10094.1.S1_at	9.28216	12.0541	10.8739
Mtr.10095.1.S1_at	4.9372	5.1987	6.03911
Mtr.10096.1.S1_at	20.957	36.3746	25.7537
Mtr.10097.1.S1_at	22.425	24.082	25.2169
Mtr.10098.1.S1_at	7.10256	7.94099	6.9996
Mtr.10099.1.S1_s_at	19.6618	18.3931	26.5197
Mtr.101.1.S1_at	7.39652	5.67724	5.67617
Mtr.1010.1.S1_at	85.3882	57.5676	63.3354
Mtr.10100.1.S1_at	8.51793	11.3266	8.51033
Mtr.10101.1.S1_at	56.8195	81.0878	76.2808
Mtr.10102.1.S1_at	476.404	555.44	528.165
Mtr.10103.1.S1_at	10.1821	6.55137	9.84983
Mtr.10104.1.S1_at	85.9644	68.4495	119.248
Mtr.10105.1.S1_at	6.33051	6.77382	5.73682
Mtr.10105.1.S1_s_at	15.925	22.6765	22.6928
Mtr.10106.1.S1_at	24.0629	17.4455	23.274
Mtr.10107.1.S1_at	33.5701	35.2666	23.5975
Mtr.10107.1.S1_s_at	47.229	63.9127	48.3378
Mtr.10108.1.S1_at	7.50051	11.5243	8.42719
Mtr.10109.1.S1_s_at	59.4082	82.7181	69.0911
Mtr.1011.1.S1_at	13.9778	23.9547	17.9607
Mtr.10110.1.S1_at	1168.83	1149.27	1034.19
Mtr.10111.1.S1_at	15.1923	12.0454	11.0084
Mtr.10112.1.S1_at	14.1409	13.8497	14.331
Mtr.10113.1.S1_at	16.5198	14.3033	15.4832
Mtr.10114.1.S1_at	9.06304	8.6958	9.4452
Mtr.10115.1.S1_at	86.9339	60.6554	79.7354
Mtr.10116.1.S1_at	324.707	350.947	351.382
Mtr.10116.1.S1_s_at	175.791	159.623	178.059
Mtr.10117.1.S1_at	14.8847	20.0358	13.8323
Mtr.10118.1.S1_at	25.311	18.6082	29.1268
Mtr.10119.1.S1_at	34.0779	36.9596	36.342
Mtr.1012.1.S1_at	7.80475	9.20204	10.974
Mtr.10120.1.S1_at	344.562	351.311	303.353
Mtr.10121.1.S1_at	81.3449	105.168	86.9591
Mtr.10122.1.S1_at	8.22542	8.74475	7.02844
Mtr.10123.1.S1_at	215.11	192.167	215.779
Mtr.10124.1.S1_at	9.26617	11.1544	8.09809
Mtr.10125.1.S1_at	10.664	13.4268	9.67603
Mtr.10126.1.S1_at	15.1664	12.6666	17.3828
Mtr.10127.1.S1_at	35.3204	42.0889	37.1047
Mtr.10127.1.S1_s_at	166.138	187.852	144.745
Mtr.10128.1.S1_at	32.2163	37.6456	25.202
Mtr.10129.1.S1_at	285.635	272.932	289.573
Mtr.1013.1.S1_at	9.00597	10.4826	9.44495
Mtr.10130.1.S1_at	101.109	132.567	100.215
Mtr.10131.1.S1_at	108.365	119.72	91.3856
Mtr.10132.1.S1_at	217.222	214.739	227.091
Mtr.10133.1.S1_at	686.084	596.839	622.819
Mtr.10134.1.S1_at	18.2804	27.2869	18.1922
Mtr.10135.1.S1_at	45.4489	33.8587	56.5882
Mtr.10136.1.S1_at	359.115	354.562	329.627
Mtr.10137.1.S1_at	41.5234	43.0358	32.2811
Mtr.10138.1.S1_at	302.561	309.063	336.918
Mtr.10139.1.S1_at	77.3774	89.0135	94.0037
Mtr.1014.1.S1_at	154.254	137.736	126.249
Mtr.10140.1.S1_at	11.6328	13.8964	10.7059
Mtr.10141.1.S1_at	19.7562	11.4424	18.7711
Mtr.10142.1.S1_at	22.7831	23.7548	25.1044
Mtr.10143.1.S1_at	6.58873	6.65637	7.24993
Mtr.10144.1.S1_at	231.553	221.55	203.247
Mtr.10145.1.S1_at	23.1345	14.7824	16.1085
Mtr.10146.1.S1_at	10.6879	11.0929	10.688
Mtr.10146.1.S1_s_at	9.69503	10.6233	11.9014
Mtr.10147.1.S1_at	12.2975	17.9304	12.9254
Mtr.10148.1.S1_at	96.66	106.315	98.1095
Mtr.10149.1.S1_at	9.80741	7.0434	9.4791
Mtr.1015.1.S1_at	46.901	74.075	46.7503
Mtr.10150.1.S1_at	8.2328	9.25123	11.8937
Mtr.10151.1.S1_s_at	25.1481	25.1898	35.8384
Mtr.10152.1.S1_at	274.653	277.079	265.212
Mtr.10153.1.S1_at	8.85038	9.55034	9.8279
Mtr.10153.1.S1_s_at	15.8436	16.1904	15.4095
Mtr.10154.1.S1_at	7.39652	9.42919	8.45742
Mtr.10155.1.S1_at	92.5799	95.9067	85.7646
Mtr.10156.1.S1_at	36.3769	41.14	30.5302
Mtr.10157.1.S1_at	121.942	124.383	123.689
Mtr.10158.1.S1_at	506.758	479.884	494.17
Mtr.10159.1.S1_at	27.5409	38.7561	37.9435
Mtr.1016.1.S1_at	92.4674	89.4081	80.5192
Mtr.10160.1.S1_at	5.92849	6.58256	7.91766
Mtr.10160.1.S1_x_at	8.09401	7.3309	7.8385
Mtr.10161.1.S1_at	290.377	268.255	248.412
Mtr.10162.1.S1_at	22.1516	19.7956	27.9509
Mtr.10163.1.S1_at	28.7184	44.5052	39.092
Mtr.10164.1.S1_at	102.2	107.142	117.389
Mtr.10165.1.S1_at	1328.54	1228.61	1342.74
Mtr.10166.1.S1_at	1219.55	1204.65	1125.13
Mtr.10167.1.S1_at	24.9377	22.5337	29.9663
Mtr.10168.1.S1_at	89.426	98.1996	84.3022
Mtr.10169.1.S1_at	51.5947	67.1235	66.7506
Mtr.1017.1.S1_at	6.99982	6.73614	7.74016
Mtr.10170.1.S1_at	27.0043	23.6038	29.335
Mtr.10171.1.S1_at	28.4736	39.3368	31.6025
Mtr.10172.1.S1_at	46.2464	49.3439	33.6704
Mtr.10173.1.S1_at	72.0193	54.1395	57.2874
Mtr.10174.1.S1_at	11.207	9.41866	9.84786
Mtr.10175.1.S1_at	3194.76	3480.04	3662.1
Mtr.10176.1.S1_at	226.705	268.454	167.605
Mtr.10177.1.S1_at	529.097	551.687	456.302
Mtr.10178.1.S1_at	710.179	700.842	655.403
Mtr.10179.1.S1_at	14.0581	12.5781	14.964
Mtr.1018.1.S1_at	15.17	20.085	18.7723
Mtr.1018.1.S1_s_at	712.03	803.106	785.426
Mtr.10180.1.S1_at	23.7406	26.5224	23.8879
Mtr.10181.1.S1_at	36.5618	23.8166	35.7723
Mtr.10182.1.S1_at	15.9487	17.3257	14.3569
Mtr.10183.1.S1_s_at	39.0425	50.4061	51.9852
Mtr.10184.1.S1_at	25.3584	22.2506	21.5911
Mtr.10185.1.S1_at	51.5468	51.2755	36.9312
Mtr.10186.1.S1_at	13.2799	20.1566	18.8274
Mtr.10187.1.S1_at	840.058	744.384	826.188
Mtr.10188.1.S1_at	24.1657	26.438	21.4027
Mtr.10188.1.S1_x_at	27.2947	34.1153	24.1061
Mtr.10189.1.S1_at	261.406	266.458	254.567
Mtr.1019.1.S1_at	8.89259	7.69827	7.84161
Mtr.10190.1.S1_at	14.1531	17.5212	15.2141
Mtr.10191.1.S1_at	9.25262	9.2582	12.4868
Mtr.10192.1.S1_at	40.5615	32.2893	33.7379
Mtr.10193.1.S1_at	289.939	264.272	277.84
Mtr.10194.1.S1_at	67.2466	84.8788	88.5212
Mtr.10195.1.S1_at	7.49881	7.29089	8.07862
Mtr.10196.1.S1_at	70.2043	78.6658	73.2463
Mtr.10197.1.S1_at	174.157	162.312	161.966
Mtr.10198.1.S1_at	14.4452	13.7343	13.3532
Mtr.10199.1.S1_at	994.017	1042.37	1133.98
Mtr.10199.1.S1_s_at	744.633	802.749	938.613
Mtr.102.1.S1_x_at	46.6264	59.7996	87.6459
Mtr.1020.1.S1_at	85.259	53.4454	58.5741
Mtr.10200.1.S1_at	568.386	524.778	584.517
Mtr.10201.1.S1_at	35.8903	55.2835	50.7739
Mtr.10202.1.S1_at	25.4347	34.4235	43.5316
Mtr.10203.1.S1_at	1022.98	890.594	922.626
Mtr.10203.1.S1_s_at	694.653	655.985	626.598
Mtr.10204.1.S1_at	339.174	316.349	312.714
Mtr.10205.1.S1_at	28.8134	37.147	34.1756
Mtr.10206.1.S1_at	7.06738	7.78379	7.02105
Mtr.10207.1.S1_at	48.3696	50.7541	40.6173
Mtr.10208.1.S1_at	6.31426	7.90275	6.20862
Mtr.10209.1.S1_at	124.643	113.412	120.683
Mtr.1021.1.S1_at	16.3246	10.1093	20.9712
Mtr.10210.1.S1_at	10.1815	8.8457	10.4022
Mtr.10211.1.S1_at	1001.24	974.779	928.132
Mtr.10212.1.S1_at	830.526	833.174	790.855
Mtr.10213.1.S1_at	37.888	43.3318	38.6377
Mtr.10214.1.S1_at	7.25667	6.16148	7.55094
Mtr.10215.1.S1_at	94.2713	97.3472	104.204
Mtr.10216.1.S1_at	141.955	154.566	139.013
Mtr.10217.1.S1_at	14.5369	13.021	11.943
Mtr.10218.1.S1_at	233.216	246.083	233.094
Mtr.10219.1.S1_at	46.9967	35.2525	33.8272
Mtr.1022.1.S1_at	6.876	7.62228	5.82122
Mtr.10220.1.S1_s_at	21.4588	32.369	43.428
Mtr.10221.1.S1_at	2411.12	2218.2	1702.36
Mtr.10222.1.S1_at	131.457	121.737	118.994
Mtr.10223.1.S1_at	9.37064	7.90414	6.73753
Mtr.10224.1.S1_at	50.4207	36.8799	58.9731
Mtr.10225.1.S1_at	54.8902	54.812	49.0125
Mtr.10226.1.S1_at	448.838	419.602	388.12
Mtr.10227.1.S1_at	6.47366	5.19584	7.76403
Mtr.10228.1.S1_at	13.1134	11.2577	12.2482
Mtr.10229.1.S1_at	27.9931	48.7787	33.2826
Mtr.1023.1.S1_at	8.7917	9.38645	10.5967
Mtr.10230.1.S1_at	81.9216	84.1655	77.8237
Mtr.10231.1.S1_at	19.6568	22.8414	22.3636
Mtr.10232.1.S1_at	13.7179	15.9224	10.9467
Mtr.10233.1.S1_at	822.659	830.072	813.893
Mtr.10234.1.S1_at	10.2892	9.25712	7.95379
Mtr.10234.1.S1_s_at	42.5356	31.3842	52.4497
Mtr.10235.1.S1_at	9.99391	8.96702	8.24287
Mtr.10236.1.S1_at	46.7431	41.106	30.8494
Mtr.10237.1.S1_at	27.0611	29.6368	25.4834
Mtr.10238.1.S1_at	164.745	167.973	179.081
Mtr.10239.1.S1_at	74.2091	104.154	101.277
Mtr.10240.1.S1_at	407.898	450.365	380.252
Mtr.10241.1.S1_at	8.73472	8.3408	9.66065
Mtr.10242.1.S1_at	230.515	218.09	219.434
Mtr.10243.1.S1_at	113.775	79.7528	96.4433
Mtr.10244.1.S1_at	87.0916	96.9643	95.6762
Mtr.10245.1.S1_at	294.75	291.666	250.08
Mtr.10246.1.S1_at	21.1834	21.6542	16.781
Mtr.10247.1.S1_at	677.388	743.027	706.761
Mtr.10248.1.S1_at	3953.37	3738.48	3533.63
Mtr.10249.1.S1_at	13.2508	13.8152	13.9397
Mtr.1025.1.S1_at	30.5268	21.3	31.5879
Mtr.10250.1.S1_at	9.28216	10.1339	7.63682
Mtr.10251.1.S1_at	230.721	264.925	249.044
Mtr.10252.1.S1_at	9.65655	9.97046	10.471
Mtr.10253.1.S1_at	381.623	361.076	362.931
Mtr.10254.1.S1_at	311.89	307.796	291.348
Mtr.10255.1.S1_at	152.93	218.093	200.599
Mtr.10256.1.S1_at	38.0019	36.4858	28.1693
Mtr.10257.1.S1_at	50.8449	45.1384	50.0269
Mtr.10258.1.S1_at	27.9819	50.9623	45.5256
Mtr.10259.1.S1_at	8.44751	9.45481	8.34311
Mtr.10261.1.S1_at	22.7724	20.1325	26.266
Mtr.10262.1.S1_at	35.9757	21.3514	40.9985
Mtr.10263.1.S1_at	695.568	783.251	740.238
Mtr.10264.1.S1_at	33.3566	38.3035	43.6529
Mtr.10265.1.S1_at	154.124	132.974	145.996
Mtr.10265.1.S1_s_at	349.985	346.111	334.082
Mtr.10266.1.S1_at	84.9469	108.47	114.85
Mtr.10267.1.S1_at	623.585	581.8	614.702
Mtr.10267.1.S1_a_at	1644.9	1719.77	1587.42
Mtr.10268.1.S1_at	234.654	247.281	228.902
Mtr.10269.1.S1_at	70.3163	44.8325	61.3951
Mtr.1027.1.S1_at	103.418	112.58	88.5128
Mtr.10270.1.S1_at	85.6258	75.9898	79.6388
Mtr.10271.1.S1_at	23.1884	20.7798	22.3117
Mtr.10272.1.S1_at	894.591	884.299	856.798
Mtr.10273.1.S1_at	250.032	233.539	204.816
Mtr.10274.1.S1_at	127.098	117.077	121.951
Mtr.10275.1.S1_s_at	9.55937	9.38354	9.14213
Mtr.10276.1.S1_at	38.7849	48.7242	45.4118
Mtr.10277.1.S1_at	71.8932	89.514	95.332
Mtr.10278.1.S1_at	223.991	281.07	253.897
Mtr.10279.1.S1_at	5.93813	7.94099	6.76055
Mtr.10279.1.S1_s_at	23.3334	27.5056	23.7577
Mtr.1028.1.S1_at	6.71615	5.79873	6.02894
Mtr.10280.1.S1_at	42.1495	42.2463	42.5707
Mtr.10282.1.S1_at	306.723	340.2	336.592
Mtr.10283.1.S1_at	147.321	193.363	277.783
Mtr.10284.1.S1_at	63.9363	60.5657	66.7261
Mtr.10285.1.S1_at	18.3873	19.0234	16.6356
Mtr.10286.1.S1_at	70.5278	71.5753	79.2492
Mtr.10287.1.S1_at	147.386	172.104	156.858
Mtr.10288.1.S1_at	14.1409	18.2828	14.295
Mtr.10289.1.S1_at	12.8275	12.0252	12.9051
Mtr.1029.1.S1_at	7.37538	7.58001	9.5749
Mtr.10290.1.S1_at	17.7537	20.1331	27.6577
Mtr.10291.1.S1_at	800.634	733.594	725.073
Mtr.10292.1.S1_at	230.245	238.844	252.751
Mtr.10293.1.S1_at	9.39754	10.4709	10.8054
Mtr.10294.1.S1_at	119.709	163.075	144.015
Mtr.10295.1.S1_at	18.1142	27.423	28.4459
Mtr.10296.1.S1_at	173.679	148.358	165.449
Mtr.10297.1.S1_at	17162.5	17104.9	17225
Mtr.10298.1.S1_at	11.9851	10.7025	13.0891
Mtr.10299.1.S1_at	5157.08	5479.79	5384.23
Mtr.103.1.S1_at	9.41652	10.3121	6.94063
Mtr.10300.1.S1_at	7986.97	8397.48	7807.06
Mtr.10301.1.S1_s_at	40.7649	47.5066	34.9263
Mtr.10302.1.S1_x_at	207.339	131.338	227.008
Mtr.10303.1.S1_at	3486.54	3187.13	3473.62
Mtr.10304.1.S1_at	3921.96	3993.06	4078.1
Mtr.10305.1.S1_at	6804.64	6954.52	6859.22
Mtr.10306.1.S1_at	5476.8	5295.58	5269.94
Mtr.10307.1.S1_at	781.356	706.802	676.131
Mtr.10308.1.S1_at	5468.37	4631.58	5769.69
Mtr.10309.1.S1_at	3315.52	2927.28	3095.54
Mtr.1031.1.S1_at	14.6497	12.7392	12.4884
Mtr.10310.1.S1_at	51.5665	63.0879	61.8656
Mtr.10311.1.S1_at	1847.16	2294.64	2385.83
Mtr.10312.1.S1_at	579.685	487.969	642.771
Mtr.10313.1.S1_at	3024.15	2890.46	3362.51
Mtr.10314.1.S1_at	866.57	831.873	876.383
Mtr.10315.1.S1_at	1702.97	1580.52	1650.68
Mtr.10316.1.S1_at	5729.26	5594.18	5864.85
Mtr.10317.1.S1_at	3441.81	4306.02	5496.81
Mtr.10318.1.S1_at	3543.53	3532.33	3431.32
Mtr.10319.1.S1_at	3977.14	2176.26	1084.75
Mtr.1032.1.S1_at	7.25395	10.6288	8.07862
Mtr.10320.1.S1_at	1295.72	1276.71	1261.84
Mtr.10321.1.S1_at	5377.07	5087.19	4758.78
Mtr.10322.1.S1_at	2803.16	2588.43	2667.8
Mtr.10323.1.S1_at	2285.57	2421.33	2356.62
Mtr.10324.1.S1_at	3809.36	4311.28	4020.61
Mtr.10325.1.S1_at	50.2186	65.5046	76.9186
Mtr.10326.1.S1_at	2984.27	3296.44	3273.08
Mtr.10327.1.S1_at	231.325	275.738	303.942
Mtr.10329.1.S1_at	7.46812	7.29612	6.58196
Mtr.1033.1.S1_at	811.793	714.131	739.967
Mtr.1033.1.S1_s_at	760.742	748.512	715.5
Mtr.10330.1.S1_at	21.2959	23.6104	25.1231
Mtr.10330.1.S1_s_at	60.9297	72.5459	68.4753
Mtr.10330.1.S1_x_at	55.9519	55.3381	66.756
Mtr.10331.1.S1_at	1544.63	1385.78	1905.65
Mtr.10332.1.S1_at	877.968	827.785	835.862
Mtr.10337.1.S1_at	1049.52	1023.03	973.96
Mtr.10338.1.S1_at	6.52205	8.35815	7.76829
Mtr.10338.1.S1_s_at	482.605	542.466	539.583
Mtr.10339.1.S1_at	95.4172	100.71	100.035
Mtr.1034.1.S1_at	1242.34	1281.85	1201.37
Mtr.10340.1.S1_at	1952.71	2102.74	2169.28
Mtr.10341.1.S1_at	426.937	412.359	432.204
Mtr.10342.1.S1_at	1604.75	1551.3	1446.82
Mtr.10343.1.S1_at	15.4498	11.4607	11.8249
Mtr.10344.1.S1_at	1915.57	2039.53	1980.24
Mtr.10345.1.S1_s_at	937.631	970.385	963.672
Mtr.10346.1.S1_at	13.3051	15.2649	10.5937
Mtr.10347.1.S1_at	2043.78	1979.83	1896.34
Mtr.10348.1.S1_at	25.2941	27.2003	32.692
Mtr.10349.1.S1_at	92.3398	95.6843	92.7823
Mtr.10349.1.S1_s_at	1767.02	1769.52	1725.55
Mtr.1035.1.S1_at	22.9796	25.3401	16.414
Mtr.10350.1.S1_at	8.22569	7.02848	6.69447
Mtr.10351.1.S1_at	1868.09	2036.17	1807.15
Mtr.10352.1.S1_at	3583.31	3510.89	3341.61
Mtr.10353.1.S1_at	8.14133	8.74363	8.41814
Mtr.10353.1.S1_s_at	13.5007	12.2271	9.00472
Mtr.10354.1.S1_at	8176.27	8194.94	8330.47
Mtr.10355.1.S1_at	2412.17	2332.93	2521.03
Mtr.10356.1.S1_at	6786.95	6397.21	6889.25
Mtr.10357.1.S1_at	10829.6	10396.1	11060.5
Mtr.10358.1.S1_at	61.8563	73.7854	76.9152
Mtr.10359.1.S1_at	1733.51	1917.06	1636.74
Mtr.1036.1.S1_at	6.81827	6.79952	6.23483
Mtr.10360.1.S1_s_at	1295.13	1463.95	1442.41
Mtr.10361.1.S1_at	13418.1	13457.8	15653.6
Mtr.10362.1.S1_at	12635.8	12150.9	12834.2
Mtr.10363.1.S1_x_at	3314.44	3020.93	4003.29
Mtr.10364.1.S1_at	10.2451	14.507	10.1563
Mtr.10365.1.S1_at	11.3715	10.9556	14.6134
Mtr.10365.1.S1_s_at	12967.8	13052.9	14234.7
Mtr.10366.1.S1_at	64.9683	64.3694	69.6192
Mtr.10367.1.S1_at	6908.39	6858.77	7171.92
Mtr.10368.1.S1_at	425.775	437.358	549.845
Mtr.10369.1.S1_at	22.2542	19.1835	33.1805
Mtr.1037.1.S1_at	15.6456	15.6697	17.9016
Mtr.10370.1.S1_at	11161	11094	11802.5
Mtr.10371.1.S1_at	9038.61	9149.16	9351.56
Mtr.10372.1.S1_at	4761.05	4846.58	5105.49
Mtr.10373.1.S1_at	6695.14	4513.49	5558.88
Mtr.10375.1.S1_at	1182.67	1522.51	1259.07
Mtr.10376.1.S1_at	1886.44	1647.06	1644.9
Mtr.10377.1.S1_at	196.668	251.682	194.447
Mtr.10377.1.S1_s_at	124.508	120.622	108.02
Mtr.10378.1.S1_at	42.0488	47.9063	46.9682
Mtr.10379.1.S1_at	12.9393	11.5719	14.8805
Mtr.1038.1.S1_at	160.479	162.223	146.129
Mtr.10380.1.S1_at	7.96653	8.33411	7.93537
Mtr.10382.1.S1_at	17.444	16.4891	20.8779
Mtr.10383.1.S1_at	8.83479	11.0381	7.81744
Mtr.10384.1.S1_at	8.2592	10.8636	12.899
Mtr.10385.1.S1_at	19.8755	19.3444	21.7716
Mtr.10386.1.S1_at	47.5	61.3041	58.68
Mtr.10387.1.S1_at	6.03251	6.94288	6.72386
Mtr.10388.1.S1_at	897.295	1041.38	776.494
Mtr.10389.1.S1_s_at	1007.67	1303.02	957.714
Mtr.1039.1.S1_at	128.38	134.771	131.528
Mtr.10390.1.S1_at	856.479	809.152	805.276
Mtr.10391.1.S1_at	4680.79	4344.72	4637.06
Mtr.10392.1.S1_at	21060.9	21515	21274.1
Mtr.10393.1.S1_at	5796.51	5651.42	6807.92
Mtr.10394.1.S1_at	1816.55	1996.19	2053.16
Mtr.10395.1.S1_at	90.7959	115	99.1983
Mtr.10396.1.S1_at	849.876	780.666	707.019
Mtr.10397.1.S1_at	446.408	478.768	625.323
Mtr.10398.1.S1_at	7232.25	7348.6	6898.5
Mtr.10399.1.S1_at	6758.83	6380.84	6364
Mtr.104.1.S1_at	6.58277	6.81166	6.66991
Mtr.1040.1.S1_at	185.004	191.449	178.741
Mtr.10400.1.S1_at	4092.09	4502.37	4553.2
Mtr.10402.1.S1_at	54.2933	55.2126	55.6283
Mtr.10403.1.S1_at	60.5908	99.4914	106.943
Mtr.10404.1.S1_at	1106	899.49	1012.42
Mtr.10405.1.S1_at	451.564	551.24	538.418
Mtr.10406.1.S1_at	16.0482	11.3289	9.21131
Mtr.10407.1.S1_at	140.63	169.103	182.201
Mtr.10407.1.S1_s_at	697.874	802.496	785.583
Mtr.10408.1.S1_at	1900.08	1901.69	1927.01
Mtr.10409.1.S1_at	10932.3	11036.5	11184.2
Mtr.1041.1.S1_at	9.97123	9.46431	8.11253
Mtr.10410.1.S1_at	69.9233	68.5134	78.2299
Mtr.10410.1.S1_s_at	63.8331	72.3939	56.5476
Mtr.10411.1.S1_at	498.605	526.03	595.922
