Probeset	ART_06dpi_control_1	ART_06dpi_control_2	ART_06dpi_control_3
Mtr.1.1.S1_at	63.9506	35.6001	49.117
Mtr.1.1.S1_s_at	595.727	526.209	627.752
Mtr.10.1.S1_at	12.729	10.1535	12.3188
Mtr.100.1.S1_at	12.8209	10.5858	10.6001
Mtr.1000.1.S1_at	17.1215	13.8305	18.0717
Mtr.10000.1.S1_at	472.99	471.832	440.214
Mtr.10001.1.S1_at	48.365	54.1231	61.4369
Mtr.10001.1.S1_s_at	192.42	226.913	230.602
Mtr.10002.1.S1_at	27.1604	33.4266	36.1069
Mtr.10003.1.S1_at	6.86741	8.37988	6.44266
Mtr.10004.1.S1_at	12.8512	10.5507	10.7394
Mtr.10005.1.S1_at	163.571	169.331	147.428
Mtr.10006.1.S1_at	13.5035	15.2873	10.4305
Mtr.10007.1.S1_at	208.87	214.872	211.69
Mtr.10008.1.S1_at	38.2063	43.6555	32.8777
Mtr.10009.1.S1_at	3020.86	2637.59	3304.74
Mtr.1001.1.S1_at	6.0171	6.65637	5.66763
Mtr.10010.1.S1_at	93.0153	91.8363	69.0145
Mtr.10011.1.S1_at	7.96851	9.70528	8.07862
Mtr.10012.1.S1_at	7.55573	5.92207	6.55206
Mtr.10013.1.S1_at	1995.17	2124.45	1986.84
Mtr.10014.1.S1_at	8.47935	8.11647	10.1596
Mtr.10015.1.S1_at	44.8893	44.0674	30.5599
Mtr.10016.1.S1_at	371.202	448.329	419.728
Mtr.10017.1.S1_at	16.975	19.5666	16.5673
Mtr.10018.1.S1_at	338.535	318.012	315.873
Mtr.10019.1.S1_at	146.811	124.064	102.586
Mtr.1002.1.S1_at	7.29178	13.9701	10.3602
Mtr.10020.1.S1_at	110.634	115.325	98.1086
Mtr.10021.1.S1_at	13.5358	12.7736	21.3417
Mtr.10022.1.S1_at	169.12	171.646	148.801
Mtr.10023.1.S1_at	297.28	301.353	283.808
Mtr.10024.1.S1_at	12.482	9.70528	9.69211
Mtr.10025.1.S1_at	9.93609	9.27306	8.47788
Mtr.10026.1.S1_at	46.2434	48.0001	46.2443
Mtr.10026.1.S1_s_at	209.963	221.56	274.998
Mtr.10027.1.S1_at	17.7185	10.7831	14.5268
Mtr.10028.1.S1_at	199.895	173.213	179.266
Mtr.10029.1.S1_at	13.303	12.9871	10.7979
Mtr.10029.1.S1_s_at	49.6961	57.4432	64.2783
Mtr.10030.1.S1_at	958.185	812.501	924.264
Mtr.10031.1.S1_at	390.506	349.755	341.053
Mtr.10032.1.S1_at	7.72489	6.93212	7.75413
Mtr.10034.1.S1_at	24.5168	25.9897	25.0409
Mtr.10035.1.S1_at	44.4497	41.0979	38.9524
Mtr.10036.1.S1_at	82.8469	67.1329	63.2226
Mtr.10037.1.S1_at	791.441	797.036	766.284
Mtr.10039.1.S1_at	113.316	97.8556	103.486
Mtr.1004.1.S1_at	5.84511	6.87042	9.94713
Mtr.10040.1.S1_at	14.3293	17.1272	16.299
Mtr.10041.1.S1_at	327.815	354.812	372.239
Mtr.10042.1.S1_at	457.656	459.402	411.944
Mtr.10043.1.S1_at	155.901	164.146	137.067
Mtr.10044.1.S1_at	157.48	152.817	137.579
Mtr.10045.1.S1_at	158.718	199.28	208.315
Mtr.10046.1.S1_at	45.5421	56.3951	56.7889
Mtr.10047.1.S1_at	10.5749	13.6109	16.257
Mtr.10048.1.S1_at	112.696	139.93	114.61
Mtr.10049.1.S1_at	33.9558	36.345	35.6482
Mtr.1005.1.S1_at	9.93954	9.48737	10.1565
Mtr.10050.1.S1_at	7.68925	9.81383	6.85289
Mtr.10051.1.S1_at	420.693	395.409	389.743
Mtr.10052.1.S1_at	13.8422	10.1718	9.94713
Mtr.10053.1.S1_at	7.58692	8.46127	8.70149
Mtr.10054.1.S1_at	79.6416	73.0923	78.5038
Mtr.10055.1.S1_at	172.352	184.029	196.133
Mtr.10056.1.S1_at	6.81827	6.34937	7.4822
Mtr.10057.1.S1_at	16.2249	17.056	21.6465
Mtr.10058.1.S1_at	51.7123	55.8913	59.5203
Mtr.10059.1.S1_at	489.257	492.087	553.499
Mtr.1006.1.S1_at	6.38159	7.97454	6.35081
Mtr.10061.1.S1_at	32.9582	27.9961	31.0766
